sensor_1,1547718199,35.8
sensor_1,1547718205,14.8
sensor_1,1547718169,37.8
sensor_6,1547718212,15.4
sensor_7,1547718202,6.7
sensor_10,1547718205,38.1
sensor_1,1547718214,39.8
sensor_6,1547718201,28.4
sensor_7,1547718212,11.7
sensor_5,1547718212,11.7
sensor_3,1547718212,11.7
sensor_5,1547718212,11.7
sensor_3,1547718212,11.7
sensor_5,1547718212,11.7
sensor_3,1547718212,11.7
sensor_9,1547718208,7.7
sensor_9,1547718212,9.7
sensor_10,1547718212,11.7
sensor_10,1547718205,38.1
sensor_1,1547718139,39.8
sensor_6,1547712201,18.4
sensor_7,1547718212,11.7
sensor_10,1547718205,38.1
sensor_1,1547718139,39.8
sensor_6,1547712201,18.4
sensor_7,1547718212,11.7
